"content","original_id","from","date_created","sentiment","original_sentiment"
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/YQq4NaugVU","660769393429880832","chandraxaselole","2015-11-01 17:44:34","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/XCssdiEVRc","660769353751658496","BeritadotID","2015-11-01 17:44:25","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror","660769339088478208","RoniTumarang","2015-11-01 17:44:21","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/88p3jxBZR1 #LangkahHT https://t.co/gdD0TfX7RS","660769333816254464","PikiranRakjat","2015-11-01 17:44:20","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/kzk9VHcK2T","660769325582647297","tiangCYP","2015-11-01 17:44:18","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/xWgsSZGAPU","660769316174872576","SHS_Zico","2015-11-01 17:44:16","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/xmochnsbL5 https://t.co/InxAg3Tund","660769310361563136","suryanalakian","2015-11-01 17:44:14","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/d5tAImIgrk","660769308650287105","fyLGS","2015-11-01 17:44:14","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/WijpPmEltW","660769305399717889","Ajul_Hawkins","2015-11-01 17:44:13","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/qad8qmXUaI","660769305177395202","Handaya07","2015-11-01 17:44:13","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/Bt7B7VYzhc","660769297715757056","pouteryeol","2015-11-01 17:44:11","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/dc4XLLIvjo","660769296218374144","MySisterStore","2015-11-01 17:44:11","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/Srg8xJfMDD https://t.co/arKvcuS5nF","660769291902390272","FebiaNiola","2015-11-01 17:44:10","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/ADxvwB54Pk","660769290862243840","jjongkukk","2015-11-01 17:44:10","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/BFb2rbbLVw","660769280632336384","EXO192","2015-11-01 17:44:07","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/kvkfdx0Sag","660769280456159232","Realtaiyang","2015-11-01 17:44:07","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/ZVkUpFrHmz https://t.co/wU0tGzh0ab","660769280301002752","prayog33211","2015-11-01 17:44:07","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/jHWWb5vEQj","660769271824281600","MuhIfdhalM","2015-11-01 17:44:05","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/jyXslc0L2w","660769261854396416","S00J_","2015-11-01 17:44:03","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/QfrdwqfoFv","660769254094929920","Bbaekhyn92","2015-11-01 17:44:01","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/lBNsewmzDM","660769244557131778","LeeKwng","2015-11-01 17:43:59","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/RENY6F3TVL","660769243324153856","nadiamaniess","2015-11-01 17:43:58","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/JKQ1qeghPh","660769236495634432","CupidBora","2015-11-01 17:43:57","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/lXGRn9S6dT","660769227142369280","kanjenghmy","2015-11-01 17:43:54","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/VclsHNzLWT","660769218502127616","pidpark","2015-11-01 17:43:52","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/JKJf8z4VMV","660769209681489920","it4lz","2015-11-01 17:43:50","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/IKS4ODIoud","660769185182560256","tiiaa_tiwi","2015-11-01 17:43:44","",""
"Ada Kecelakaan Sepeda Motor di Depan Kantor Go-Jek sebelum Ditembaki https://t.co/rfK0k5jh1x #MentionSatu","660769169936371712","MentionSatu","2015-11-01 17:43:41","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/tX64HZFk36","660769137191354369","dedotata","2015-11-01 17:43:33","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/2sUxCdr8KY","660769128655917057","Jordhan_wijaya","2015-11-01 17:43:31","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/LlxpclF11f #MentionSatu","660769125472608256","MentionSatu","2015-11-01 17:43:30","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/YiG246Pne5","660769118824493056","asepwibowo7","2015-11-01 17:43:29","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/gT24hu59x8","660769110792364032","saibuma23","2015-11-01 17:43:27","",""
"I'm spreading the GO-JEK love. Download the GO-JEK app at "https://t.co/SixMyMM43f" and input this referral code "542760837"","660769110435860480","istifebruari","2015-11-01 17:43:27","",""
